Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
HLA-DQA1,"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
COL27A1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
GM2A,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
H2AC13,Predicted intracellular proteins,"","","","","","","",""
CLPSL2,Predicted secreted proteins,"","","","","","","",""
S100A2,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
ZNF700,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
POU3F4,"Human disease related genes, Predicted intracellular proteins","","","","","","","",""
OR14A16,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
CD47,"CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
OR52K1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
TLE1,Predicted intracellular proteins,"","","","","","","",""
MAML3,Predicted intracellular proteins,"","","","","","","",""
H2AC11,Predicted intracellular proteins,"","","","","","","",""
STRN3,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ZNF239,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SPINK14,Predicted secreted proteins,"","","","","","","",""
SPRR2B,Predicted intracellular proteins,"","","","","","","",""
CHRNG,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
ZSCAN16,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MVB12B,Predicted intracellular proteins,"","","","","","","",""
ILRUN,Predicted intracellular proteins,"","","","","","","",""
AC008758.1,Predicted intracellular proteins,"","","","","","","",""
OR11G2,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
POTEI,Predicted intracellular proteins,"","","","","","","",""
ADA,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
ARID5A,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
PATE2,Predicted secreted proteins,"","","","","","","",""
PPTC7,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
KRT39,Predicted intracellular proteins,"","","","","","","",""
TOMM20L,Predicted membrane proteins,"","","","","","","",Y
RGPD4,Predicted intracellular proteins,"","","","","","","",""
NHLRC2,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
H2AC7,Predicted intracellular proteins,"","","","","","","",""
ZFP28,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CRACDL,Predicted intracellular proteins,"","","","","","","",""
CBWD3,Predicted intracellular proteins,"","","","","","","",""
SCN8A,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Y,Y,"","","","","",Y
LAMB3,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
H2BU1,Predicted intracellular proteins,"","","","","","","",""
TEX43,Predicted intracellular proteins,"","","","","","","",""
KPNA5,"Predicted intracellular proteins, Transporters","","","","","","","",""
ANKRD36B,Predicted intracellular proteins,"","","","","","","",""
ARHGEF12,"Cancer-related genes, Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
HCAR1,"G-protein coupled receptors, Predicted membrane proteins, Transporters","","","","","",Y,"",Y
PDLIM7,Predicted intracellular proteins,"","","","","","","",""
FLNA,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
TMEM26,Predicted membrane proteins,"","","","","","","",Y
SRGAP1,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
FAM3C,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
NOP9,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
OR2T4,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
ZNF705A,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SLC39A10,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
CASP4,"Cancer-related genes, Enzymes, Predicted intracellular proteins","","",Y,"",Y,"","",""
AP2A1,"Predicted intracellular proteins, Transporters","","","","","","","",""
ZNF585A,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
FUT11,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
SMIM10L2B,Predicted membrane proteins,"","","","","","","",Y
ANXA4,"Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins","",Y,"","","","","",""
LAGE3,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
WDR5B,Predicted intracellular proteins,"","","","","","","",""
FAM163B,Predicted membrane proteins,"","","","","","","",Y
NPIPB9,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
WDR45,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
METTL9,Predicted intracellular proteins,"","","","","","","",""
ZNF138,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF429,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF470,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SERTAD1,Predicted intracellular proteins,"","","","","","","",""
ZNF100,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
EOLA2,Predicted intracellular proteins,"","","","","","","",""
ZNF398,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZSCAN25,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ANXA6,"Plasma proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
ZNF441,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
GMFB,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SIGLEC15,Predicted membrane proteins,"","","","","","","",Y
ZNF420,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF763,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZMYM1,Predicted intracellular proteins,"","","","","","","",""
DTHD1,Predicted intracellular proteins,"","","","","","","",""
H4C3,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ZSCAN26,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MAFG,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ARRDC1,Predicted intracellular proteins,"","","","","","","",""
KIAA1671,Predicted intracellular proteins,"","","","","","","",""
KRT35,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
IGF2R,"Cancer-related genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
LCE1C,Predicted intracellular proteins,"","","","","","","",""
GAL3ST4,"Metabolic proteins, Predicted membrane proteins","","","","","","","",Y
DYNC1H1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
SLC6A17,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
IFNL3,Predicted secreted proteins,"","","","","","","",""
PCBP2,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ZGPAT,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SLC25A29,"Metabolic proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
PGAP1,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
SRC,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Y,Y,Y,Y,"","","",""
ZNF679,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF682,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
OR8B8,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
ZNF772,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ZNF257,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
PCNX3,Predicted membrane proteins,"","","","","","","",Y
ADAM32,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
ACSL5,"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins","","",Y,"","","","",Y
LRRC8B,"Human disease related genes, Predicted membrane proteins, Transporters","","","","","","","",Y
ABCB8,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
H3C12,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SND1,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
ZNF785,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SULT1A2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
NEK5,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
PSMD12,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
MAGEA6,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
ADGRA1,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
PIWIL2,Predicted intracellular proteins,"","","","","","","",""
NOL4L,Predicted intracellular proteins,"","","","","","","",""
CYSRT1,Predicted intracellular proteins,"","","","","","","",""
SLC22A4,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins",Y,"","","","","","",Y
ZSCAN5B,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ENTPD4,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
C1D,Predicted intracellular proteins,"","","","","","","",""
TBC1D9B,Predicted intracellular proteins,"","","","","","","",""
OR1J2,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
H4C11,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SLC2A7,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
FAM110D,Predicted intracellular proteins,"","","","","","","",""
SERPINA1,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
TPSB2,"Enzymes, Metabolic proteins, Predicted secreted proteins","","",Y,"",Y,"","",""
KANK2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
C6orf141,Predicted intracellular proteins,"","","","","","","",""
GTF2E2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
IL27,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
GUCA2A,"Plasma proteins, Predicted secreted proteins","","","","","","","",""
RAD54B,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ZNF165,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SYNGAP1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",Y,"","","","","","",""
FITM2,"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
BLM,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
ZNF720,Predicted intracellular proteins,"","","","","","","",""
OR10D3,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
DDI2,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SVIL,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
